sample_id,json_key,violation_type,detected_violation,level,language,model,model_raw,strategy,violation_match,tp,fp,fn,tn,accuracy,expected_violation_raw,detected_violation_raw,processing_group
lsp--deepseek33b-temp0-latest--smell_lsp_43,lsp--deepseek33b-temp0-latest--smell,LSP,SRP,MODERATE,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_44,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,JAVA,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_45,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,PYTHON,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_46,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,KOTLIN,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--deepseek33b-temp0-latest--smell_lsp_47,lsp--deepseek33b-temp0-latest--smell,LSP,,HARD,C#,DeepSeek-33B,deepseek33b-temp0-latest,smell,False,0,1,0,0,0,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_0,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_1,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_2,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_3,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_4,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_5,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_6,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_7,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_8,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_9,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_10,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,HARD,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_11,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,HARD,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_12,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_13,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_14,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_15,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_16,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_17,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_18,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_19,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_20,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,HARD,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_21,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,HARD,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_22,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,HARD,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_23,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_24,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,DIP,EASY,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,DIP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_25,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,SRP,EASY,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,SRP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_26,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,EASY,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_27,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,DIP,EASY,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,DIP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_28,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,DIP,MODERATE,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,DIP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_29,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_30,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_31,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,MODERATE,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_32,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_33,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_34,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_35,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,,HARD,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_36,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_37,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_38,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_39,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,EASY,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_40,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_41,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_42,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_43,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,MODERATE,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_44,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,SRP,HARD,JAVA,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,SRP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_45,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,SRP,HARD,PYTHON,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,SRP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_46,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,OCP,HARD,KOTLIN,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,False,0,1,0,0,0,LSP,OCP,lsp
lsp--qwen2.5-coder32b-temp0-latest--example_lsp_47,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,HARD,C#,Qwen2.5-Coder-32B,qwen2.5-coder32b-temp0-latest,example,True,1,0,0,0,1,LSP,LSP,lsp
lsp--gpt-4o-mini--smell_lsp_0,lsp--gpt-4o-mini--smell,LSP,,EASY,JAVA,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_1,lsp--gpt-4o-mini--smell,LSP,,EASY,PYTHON,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_2,lsp--gpt-4o-mini--smell,LSP,,EASY,KOTLIN,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_3,lsp--gpt-4o-mini--smell,LSP,LSP,EASY,C#,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,LSP,lsp
lsp--gpt-4o-mini--smell_lsp_4,lsp--gpt-4o-mini--smell,LSP,,MODERATE,JAVA,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_5,lsp--gpt-4o-mini--smell,LSP,,MODERATE,PYTHON,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_6,lsp--gpt-4o-mini--smell,LSP,,MODERATE,KOTLIN,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_7,lsp--gpt-4o-mini--smell,LSP,,MODERATE,C#,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_8,lsp--gpt-4o-mini--smell,LSP,,HARD,JAVA,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_9,lsp--gpt-4o-mini--smell,LSP,,HARD,PYTHON,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_10,lsp--gpt-4o-mini--smell,LSP,,HARD,KOTLIN,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_11,lsp--gpt-4o-mini--smell,LSP,,HARD,C#,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_12,lsp--gpt-4o-mini--smell,LSP,,EASY,JAVA,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_13,lsp--gpt-4o-mini--smell,LSP,,EASY,PYTHON,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_14,lsp--gpt-4o-mini--smell,LSP,,EASY,KOTLIN,GPT-4o-Mini,gpt-4o-mini,smell,True,1,0,0,0,1,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_15,lsp--gpt-4o-mini--smell,LSP,SRP,EASY,C#,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,SRP,lsp
lsp--gpt-4o-mini--smell_lsp_16,lsp--gpt-4o-mini--smell,LSP,,MODERATE,JAVA,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_17,lsp--gpt-4o-mini--smell,LSP,,MODERATE,PYTHON,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,,lsp
lsp--gpt-4o-mini--smell_lsp_18,lsp--gpt-4o-mini--smell,LSP,,MODERATE,KOTLIN,GPT-4o-Mini,gpt-4o-mini,smell,False,0,1,0,0,0,LSP,,lsp
